review_video-games_58_1	1	4
review_movies+TV_25_5	1	5
review_pet_supplies_48_5	1	7
review_toys-and-games_21_5	1	5
review_books_311_1	1	9
review_toys-and-games_331_1	1	4
review_toys-and-games_24_5	1	4
review_health+care_127_1	1	3
review_movies+TV_22_5	1	5
review_home+kitchen_21_5	1	5
review_grocery+gourmet-food_355_1	1	5
review_home+kitchen_185_1	1	5
review_sports+outdoors_146_2	1	7
review_pet_supplies_27_1	1	3
review_beauty_12_4	1	4
review_cd+vinyl_156_2	1	6
review_books_18_4	1	4
review_cd+vinyl_164_1	1	5
review_books_77_2	1	6
review_cd+vinyl_16_5	1	7
review_cell-phones+accessories_12_5	1	7
review_sports+outdoors_137_1	1	7
review_cell-phones+accessories_28_4	1	4
review_beauty_58_1	1	4
review_books_14_4	1	3
review_grocery+gourmet-food_11_5	1	4
review_health+care_14_5	1	6
review_patio+lawn+garden_6_5	1	2
review_musical-instruments_12_4	1	5
review_toys-and-games_187_1	1	6
review_musical-instruments_409_1	1	5
review_video-games_7_5	1	2
review_pet_supplies_9_5	1	5
review_home+kitchen_20_5	1	5
review_movies+TV_24_5	1	5
review_toys-and-games_254_2	1	3
review_beauty_62_1	1	6
review_cell-phones+accessories_57_5	1	4
review_movies+TV_304_1	1	4
review_books_16_1	1	4
review_sports+outdoors_40_1	1	5
review_cd+vinyl_152_2	1	6
review_cell-phones+accessories_47_1	1	5
review_books_8_4	1	7
review_cell-phones+accessories_13_5	1	6
review_home+kitchen_10_5	1	7
review_cd+vinyl_107_2	1	6
review_grocery+gourmet-food_399_2	1	3
review_cd+vinyl_7_5	1	4
review_musical-instruments_25_5	1	5
review_grocery+gourmet-food_340_1	1	4
review_patio+lawn+garden_334_1	1	6
review_cell-phones+accessories_64_2	1	3
review_toys-and-games_531_2	1	5
review_health+care_119_2	1	7
review_sports+outdoors_22_5	1	6
review_movies+TV_187_1	1	6
review_pet_supplies_91_1	1	6
review_cell-phones+accessories_132_1	1	4
review_patio+lawn+garden_392_1	1	5
review_video-games_66_1	1	6
review_health+care_185_2	1	5
review_sports+outdoors_5_4	1	4
review_cd+vinyl_110_1	1	6
review_home+kitchen_96_2	1	5
review_beauty_93_1	1	9
review_home+kitchen_41_2	1	5
review_toys-and-games_15_5	1	9
review_pet_supplies_46_4	1	6
review_video-games_21_4	1	2
review_movies+TV_439_1	1	7
review_musical-instruments_24_5	1	6
review_pet_supplies_132_2	1	5
bbc.381736	2	12
bbc.381780	1	5
kcal.279	1	11
rt.com.91337	1	6
cbsnews.248394	2	12
dailymail.co.uk.298630	1	11
bbc.381735	1	11
euronews-en.153835	1	4
bbc.381692	2	12
dailymail.co.uk.298644	2	12
cnn.304489	3	13
upi.176266	4	14
sky.com.20669	2	12
cnn.304478	1	6
scotsman.133804	1	6
reuters.218882	1	4
scotsman.133753	1	11
foxnews.100074	1	10
cnbc.com.6784	1	9
bbc.381760	1	6
seattle_times.7019	1	4
nytimes.184804	3	13
cnbc.com.6769	1	10
bbc.381647	3	13
bbc.381705	2	12
telegraph.405401	1	11
seattle_times.7452	1	7
scotsman.133783	1	10
abcnews.306758	1	6
telegraph.405408	1	9
reuters.218909	1	10
cnn.304447	1	11
euronews-en.153800	1	9
cbsnews.248484	1	10
independent.226349	1	10
cnn.304400	1	10
cbsnews.248387	3	13
bbc.381679	1	7
euronews-en.153797	1	7
cbsnews.248471	2	12
dailymail.co.uk.298602	1	11
telegraph.405430	1	9
